+--------------------------------------------------------------------------------------------------------------------------------------------------+
| key                                                                | types                                 | occurrences | percents              |
| ------------------------------------------------------------------ | ------------------------------------- | ----------- | --------------------- |
| _id                                                                | String                                |        4002 | 100.00000000000000000 |
| _keywords                                                          | Array                                 |        4002 | 100.00000000000000000 |
| checkers_tags                                                      | Array                                 |        4002 | 100.00000000000000000 |
| code                                                               | String                                |        4002 | 100.00000000000000000 |
| codes_tags                                                         | Array                                 |        4002 | 100.00000000000000000 |
| complete                                                           | Number                                |        4002 | 100.00000000000000000 |
| correctors_tags                                                    | Array                                 |        4002 | 100.00000000000000000 |
| countries                                                          | String                                |        4002 | 100.00000000000000000 |
| countries_hierarchy                                                | Array                                 |        4002 | 100.00000000000000000 |
| countries_tags                                                     | Array                                 |        4002 | 100.00000000000000000 |
| created_t                                                          | Number                                |        4002 | 100.00000000000000000 |
| creator                                                            | String                                |        4002 | 100.00000000000000000 |
| editors_tags                                                       | Array                                 |        4002 | 100.00000000000000000 |
| entry_dates_tags                                                   | Array                                 |        4002 | 100.00000000000000000 |
| id                                                                 | String                                |        4002 | 100.00000000000000000 |
| informers_tags                                                     | Array                                 |        4002 | 100.00000000000000000 |
| interface_version_created                                          | String                                |        4002 | 100.00000000000000000 |
| languages                                                          | Object                                |        4002 | 100.00000000000000000 |
| languages_codes                                                    | Object                                |        4002 | 100.00000000000000000 |
| languages_hierarchy                                                | Array                                 |        4002 | 100.00000000000000000 |
| languages_tags                                                     | Array                                 |        4002 | 100.00000000000000000 |
| last_edit_dates_tags                                               | Array                                 |        4002 | 100.00000000000000000 |
| last_modified_by                                                   | null (3021),String (981)              |        4002 | 100.00000000000000000 |
| last_modified_t                                                    | Number                                |        4002 | 100.00000000000000000 |
| lc                                                                 | String                                |        4002 | 100.00000000000000000 |
| photographers_tags                                                 | Array                                 |        4002 | 100.00000000000000000 |
| rev                                                                | Number                                |        4002 | 100.00000000000000000 |
| sortkey                                                            | Number                                |        4002 | 100.00000000000000000 |
| states                                                             | String                                |        4002 | 100.00000000000000000 |
| states_hierarchy                                                   | Array                                 |        4002 | 100.00000000000000000 |
| states_tags                                                        | Array                                 |        4002 | 100.00000000000000000 |
| last_editor                                                        | null (2484),String (1517)             |        4001 |  99.97501249375312682 |
| lang                                                               | String                                |        3741 |  93.47826086956521863 |
| images                                                             | Object                                |        3655 |  91.32933533233382661 |
| last_image_dates_tags                                              | Array                                 |        3603 |  90.02998500749625066 |
| last_image_t                                                       | Number                                |        3603 |  90.02998500749625066 |
| max_imgid                                                          | String (3269),Number (332)            |        3601 |  89.98000999500250430 |
| images.1                                                           | Object                                |        3599 |  89.93003498250874372 |
| images.1.sizes                                                     | Object                                |        3599 |  89.93003498250874372 |
| images.1.sizes.100                                                 | Object                                |        3599 |  89.93003498250874372 |
| images.1.sizes.100.h                                               | Number                                |        3599 |  89.93003498250874372 |
| images.1.sizes.100.w                                               | Number                                |        3599 |  89.93003498250874372 |
| images.1.sizes.400                                                 | Object                                |        3599 |  89.93003498250874372 |
| images.1.sizes.400.h                                               | Number                                |        3599 |  89.93003498250874372 |
| images.1.sizes.400.w                                               | Number                                |        3599 |  89.93003498250874372 |
| images.1.sizes.full                                                | Object                                |        3599 |  89.93003498250874372 |
| images.1.sizes.full.h                                              | Number                                |        3599 |  89.93003498250874372 |
| images.1.sizes.full.w                                              | Number                                |        3599 |  89.93003498250874372 |
| images.1.uploaded_t                                                | String (972),Number (2627)            |        3599 |  89.93003498250874372 |
| images.1.uploader                                                  | String                                |        3599 |  89.93003498250874372 |
| languages.en:french                                                | Number                                |        3412 |  85.25737131434283356 |
| languages_codes.fr                                                 | Number                                |        3412 |  85.25737131434283356 |
| images.front_fr                                                    | Object                                |        3074 |  76.81159420289854722 |
| images.front_fr.geometry                                           | String                                |        3074 |  76.81159420289854722 |
| images.front_fr.imgid                                              | String (2819),Number (255)            |        3074 |  76.81159420289854722 |
| images.front_fr.normalize                                          | null (2979),String (95)               |        3074 |  76.81159420289854722 |
| images.front_fr.rev                                                | String (2617),Number (457)            |        3074 |  76.81159420289854722 |
| images.front_fr.sizes                                              | Object                                |        3074 |  76.81159420289854722 |
| images.front_fr.sizes.100                                          | Object                                |        3074 |  76.81159420289854722 |
| images.front_fr.sizes.100.h                                        | Number                                |        3074 |  76.81159420289854722 |
| images.front_fr.sizes.100.w                                        | Number                                |        3074 |  76.81159420289854722 |
| images.front_fr.sizes.200                                          | Object                                |        3074 |  76.81159420289854722 |
| images.front_fr.sizes.200.h                                        | Number                                |        3074 |  76.81159420289854722 |
| images.front_fr.sizes.200.w                                        | Number                                |        3074 |  76.81159420289854722 |
| images.front_fr.sizes.400                                          | Object                                |        3074 |  76.81159420289854722 |
| images.front_fr.sizes.400.h                                        | Number                                |        3074 |  76.81159420289854722 |
| images.front_fr.sizes.400.w                                        | Number                                |        3074 |  76.81159420289854722 |
| images.front_fr.sizes.full                                         | Object                                |        3074 |  76.81159420289854722 |
| images.front_fr.sizes.full.h                                       | Number                                |        3074 |  76.81159420289854722 |
| images.front_fr.sizes.full.w                                       | Number                                |        3074 |  76.81159420289854722 |
| images.front_fr.white_magic                                        | null (2979),String (95)               |        3074 |  76.81159420289854722 |
| additives_debug_tags                                               | Array                                 |        3025 |  75.58720639680160502 |
| additives_old_tags                                                 | Array                                 |        3025 |  75.58720639680160502 |
| additives_original_tags                                            | Array                                 |        3025 |  75.58720639680160502 |
| additives_prev_original_tags                                       | Array                                 |        3025 |  75.58720639680160502 |
| additives_prev_tags                                                | Array                                 |        3025 |  75.58720639680160502 |
| additives_tags                                                     | Array                                 |        3025 |  75.58720639680160502 |
| allergens_from_ingredients                                         | String                                |        3025 |  75.58720639680160502 |
| allergens_hierarchy                                                | Array                                 |        3025 |  75.58720639680160502 |
| allergens_tags                                                     | Array                                 |        3025 |  75.58720639680160502 |
| amino_acids_prev_tags                                              | Array                                 |        3025 |  75.58720639680160502 |
| amino_acids_tags                                                   | Array                                 |        3025 |  75.58720639680160502 |
| ingredients                                                        | Array                                 |        3025 |  75.58720639680160502 |
| ingredients_debug                                                  | Array                                 |        3025 |  75.58720639680160502 |
| ingredients_from_palm_oil_tags                                     | Array                                 |        3025 |  75.58720639680160502 |
| ingredients_hierarchy                                              | Array                                 |        3025 |  75.58720639680160502 |
| ingredients_ids_debug                                              | Array                                 |        3025 |  75.58720639680160502 |
| ingredients_original_tags                                          | Array                                 |        3025 |  75.58720639680160502 |
| ingredients_tags                                                   | Array                                 |        3025 |  75.58720639680160502 |
| ingredients_text_debug                                             | null (2529),String (496)              |        3025 |  75.58720639680160502 |
| ingredients_that_may_be_from_palm_oil_tags                         | Array                                 |        3025 |  75.58720639680160502 |
